
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
94,J.J. Daigneault,1987,1988,2,D,105,8,18,26,4,68,6,2,0,1,13,5,0,102,7.8,,
95,Bob Dailey,1977,1982,6,D,304,56,138,194,124,397,42,11,3,7,82,51,5,800,7.0,,
96,Rod Dallman,1992,1992,1,LW,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,,
97,Kimbi Daniels,1991,1992,2,C,27,1,2,3,-6,4,1,0,0,1,2,0,0,18,5.6,,
98,Scott Daniels,1997,1997,1,LW,56,5,3,8,2,237,5,0,0,2,3,0,0,48,10.4,,
99,Craig Darby,1997,1998,2,C,12,2,4,6,2,2,1,0,1,0,4,0,0,16,12.5,,
100,Barry Dean,1978,1979,2,LW,86,11,31,42,11,54,11,0,0,3,25,6,0,128,8.6,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
101,Michael Del Zotto,2015,2015,1,D,45,6,15,21,-4,24,6,0,0,2,12,3,0,76,7.9,942,20:55
102,Andy Delmore,1999,2001,3,D,95,7,15,22,0,24,5,2,0,1,10,4,1,176,4.0,1673,17:36
103,Eric Desjardins,1995,2006,11,D,738,93,303,396,143,406,50,39,4,17,163,129,11,1674,5.6,11426,24:34
104,Rob DiMaio,1994,1996,3,RW,109,12,21,33,9,117,10,1,1,1,20,0,1,113,10.6,,
105,Niko Dimitrakos,2006,2007,2,RW,24,5,4,9,0,12,4,1,0,1,3,1,0,31,16.1,249,10:22
106,Kevin Dineen,1992,1996,5,RW,284,88,88,176,-3,533,61,20,7,15,61,21,6,680,12.9,,
107,Gilbert Dionne,1995,1996,2,LW,22,0,7,7,-1,2,0,0,0,0,6,1,0,29,0.0,,
108,Tomas Divisek,2001,2002,2,C,5,1,0,1,0,0,1,0,0,1,0,0,0,5,20.0,48,9:31
109,Brian Dobbin,1987,1990,4,RW,56,6,8,14,-4,39,5,1,0,1,5,3,0,52,11.5,,
110,Jiri Dopita,2002,2002,1,C,52,11,16,27,9,8,8,3,0,2,13,3,0,79,13.9,792,15:14
111,Gary Dornhoefer,1968,1978,11,RW,725,202,316,518,87,1256,151,44,7,27,228,83,5,1355,14.9,,
112,Jim Dowd,2008,2008,1,C,73,5,5,10,0,41,4,0,1,0,4,0,1,41,12.2,616,8:26
113,Steve Downie,2008,2014,3,RW,89,9,20,29,-5,154,6,2,1,1,18,2,0,88,10.2,1041,11:42
114,Rene Drolet,1972,1972,1,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,,
115,John Druce,1996,1998,3,RW,79,12,14,26,1,27,11,1,0,0,13,1,0,116,10.3,,
116,Steve Duchesne,1992,1999,2,D,89,20,43,63,-7,88,10,8,2,4,27,16,0,248,8.1,247,22:28
117,Blake Dunlop,1978,1979,2,C,69,20,29,49,28,16,15,5,0,5,22,3,4,123,16.3,,
118,Andre Dupont,1973,1980,8,D,539,42,135,177,269,1505,33,9,0,8,97,33,5,984,4.3,,
119,Yanick Dupre,1992,1996,3,LW,35,2,0,2,-7,16,2,0,0,1,0,0,0,31,6.5,,
120,Miroslav Dvorak,1983,1985,3,D,193,11,74,85,58,51,6,2,3,1,47,21,6,248,4.4,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
121,Karl Dykhuis,1995,2000,5,D,227,13,41,54,21,211,8,5,0,2,26,15,0,317,4.1,896,17:54
122,Ben Eager,2006,2008,3,LW,111,9,10,19,-21,313,9,0,0,0,10,0,0,80,11.3,830,7:28
123,Mark Eaton,2000,2000,1,D,27,1,1,2,1,8,1,0,0,1,0,1,0,25,4.0,494,18:17
124,Darryl Edestrand,1970,1970,1,D,2,0,0,0,-1,6,0,0,0,0,0,0,0,3,0.0,,
125,Pelle Eklund,1986,1994,9,C,589,118,334,452,9,107,71,41,6,16,179,150,5,952,12.4,,
126,Matt Ellison,2006,2007,2,RW,7,0,1,1,2,2,0,0,0,0,1,0,0,3,0.0,44,6:19
127,Steve Eminger,2009,2009,1,D,12,0,2,2,0,8,0,0,0,0,1,1,0,9,0.0,215,17:52
128,Thomas Eriksson,1981,1986,5,D,208,22,76,98,43,107,14,7,1,2,45,31,0,316,7.0,,
129,Doug Evans,1993,1993,1,LW,65,8,13,21,-9,70,8,0,0,1,12,0,1,60,13.3,,
130,Paul Evans,1979,1983,3,C,103,14,25,39,13,34,13,0,1,2,23,1,1,90,15.6,,
131,Pat Falloon,1996,1998,3,RW,144,38,45,83,10,24,26,12,0,6,27,17,1,339,11.2,,
132,Andre Faust,1993,1994,2,C,47,10,7,17,4,14,10,0,0,1,7,0,0,44,22.7,,
133,Todd Fedoruk,2001,2007,5,LW,268,13,26,39,-16,575,13,0,0,1,26,0,0,143,9.1,1898,7:04
134,Ruslan Fedotenko,2001,2013,3,LW,199,37,38,75,31,127,33,3,1,8,35,2,1,283,13.1,2761,13:52
135,Brent Fedyk,1993,1996,4,LW,200,59,65,124,-1,160,42,16,1,5,50,13,2,354,16.7,,
136,David Fenyves,1988,1991,4,D,58,1,5,6,-6,32,1,0,0,0,5,0,0,45,2.2,,
137,Jeff Finley,1994,1994,1,D,55,1,8,9,16,24,1,0,0,0,8,0,0,43,2.3,,
138,Craig Fisher,1990,1991,2,C,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,,
139,Rory Fitzpatrick,2008,2008,1,D,19,0,1,1,-12,11,0,0,0,0,1,0,0,10,0.0,242,12:43
140,Ross Fitzpatrick,1983,1986,4,C,20,5,2,7,-1,0,4,1,0,1,2,0,0,34,14.7,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
141,Reggie Fleming,1970,1970,1,D/LW,65,9,18,27,-4,134,7,2,0,1,14,3,1,129,7.0,,
142,Bill Flett,1972,1974,3,RW,167,71,68,139,56,130,52,15,4,12,50,17,1,621,11.4,,
143,Ron Flockhart,1981,1984,4,C,167,65,80,145,28,108,50,13,2,8,53,27,0,517,12.6,,
144,Rick Foley,1972,1972,1,D,58,11,25,36,-16,168,6,5,0,0,9,16,0,124,8.9,,
145,Colin Forbes,1997,1999,3,C,132,22,14,36,2,110,20,2,0,6,13,0,1,188,11.7,831,12:35
146,Peter Forsberg,2006,2007,2,C,100,30,85,115,23,118,16,13,1,4,48,37,0,195,15.4,1837,18:22
147,Corey Foster,1992,1992,1,D,25,3,4,7,-14,20,2,1,0,0,2,2,0,67,4.5,,
148,Kurtis Foster,2013,2013,1,D,23,1,4,5,0,25,0,1,0,0,4,0,0,21,4.8,301,13:05
149,Nick Fotiu,1988,1988,1,LW,23,0,0,0,-9,40,0,0,0,0,0,0,0,9,0.0,,
150,Mark Freer,1987,1992,5,C,59,6,9,15,-2,18,6,0,0,2,8,1,0,44,13.6,,
151,Jamie Fritsch,2009,2009,1,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,4:34
152,Simon Gagne,2000,2013,11,LW,691,264,271,535,140,284,179,74,11,47,162,97,12,2036,13.0,12513,18:06
153,Garry Galley,1992,1995,4,D,236,28,144,172,8,260,14,12,2,4,73,67,4,557,5.0,,
154,Dave Gardner,1980,1980,1,C,2,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,,
155,Denis Gauthier,2006,2007,2,D,60,0,4,4,-5,82,0,0,0,0,2,0,2,36,0.0,977,16:16
156,Jean Gauthier,1968,1968,1,D,65,5,7,12,0,74,3,1,1,0,5,2,0,104,4.8,,
157,Jean-Guy Gendron,1968,1972,5,LW,278,69,86,155,-10,203,51,17,1,4,49,37,0,595,11.6,,
158,Bruno Gervais,2013,2013,1,D,37,1,5,6,-17,10,1,0,0,0,5,0,0,49,2.0,634,17:07
159,Hal Gill,2014,2014,1,D,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,89,14:50
160,Don Gillen,1980,1980,1,RW,1,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
161,Jere Gillis,1987,1987,1,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
162,Claude Giroux,2008,2015,8,RW,471,135,297,432,28,207,85,46,4,25,168,123,6,1182,11.4,9123,19:22
163,Larry Goodenough,1975,1977,3,D,129,15,56,71,72,104,7,7,1,2,30,26,0,238,6.3,,
164,Tom Gorence,1979,1983,5,RW,291,57,52,109,27,89,52,1,4,11,50,1,1,477,11.9,,
165,Shayne Gostisbehere,2015,2015,1,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,25,12:33
166,Triston Grant,2007,2007,1,LW,8,0,1,1,-1,10,0,0,0,0,1,0,0,3,0.0,36,4:32
167,Chris Gratton,1998,1999,2,C,108,23,47,70,3,200,18,5,0,2,37,10,0,236,9.7,375,14:25
168,Josh Gratton,2006,2009,2,LW,22,1,2,3,-2,71,1,0,0,0,2,0,0,17,5.9,134,6:04
169,Kyle Greentree,2008,2008,1,LW,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,9:11
170,Mark Greig,1999,2003,4,RW,30,5,7,12,0,14,5,0,0,1,4,3,0,32,15.6,320,10:39
171,Martin Grenier,2007,2007,1,D,3,0,0,0,-3,0,0,0,0,0,0,0,0,0,,14,4:40
172,Nicklas Grossmann,2012,2015,4,D,177,5,27,32,3,102,5,0,0,0,26,0,1,142,3.5,3295,18:37
173,Paul Guay,1984,1985,2,RW,16,2,7,9,3,14,2,0,0,0,7,0,0,21,9.5,,
174,Nate Guenin,2007,2009,3,D,12,0,2,2,2,6,0,0,0,0,2,0,0,0,,111,9:16
175,Erik Gustafsson,2011,2014,4,D,91,6,17,23,17,14,6,0,0,1,13,3,1,86,7.0,1624,17:50
176,Len Hachborn,1984,1985,2,C,78,16,38,54,24,27,15,1,0,2,33,5,0,117,13.7,,
177,Larry Hale,1969,1972,4,D,196,5,37,42,-51,90,5,0,0,1,36,1,0,149,3.4,,
178,Adam Hall,2013,2014,2,RW,91,4,5,9,-16,23,2,0,2,0,5,0,0,76,5.3,908,9:58
179,Kevin Haller,1995,1997,3,D,132,7,22,29,33,177,5,0,2,2,20,2,0,149,4.7,,
180,Denis Hamel,2007,2007,1,LW,7,0,0,0,-4,0,0,0,0,0,0,0,0,3,0.0,49,6:57
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
181,Michal Handzus,2003,2006,3,C,237,54,92,146,29,166,41,10,3,12,54,34,4,381,14.2,4322,18:14
182,John Hanna,1968,1968,1,D,15,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,,
183,Pat Hannigan,1968,1969,2,LW,72,11,16,27,2,58,11,0,0,2,14,2,0,68,16.2,,
184,Jeff Harding,1989,1990,2,RW,15,0,0,0,0,47,0,0,0,0,0,0,0,22,0.0,,
185,Ted Harris,1975,1975,1,D,70,1,6,7,27,48,1,0,0,1,6,0,0,38,2.6,,
186,Scott Hartnell,2008,2014,7,LW,517,157,169,326,49,908,98,57,2,29,128,40,1,1247,12.6,8672,16:46
187,Derian Hatcher,2006,2008,3,D,203,9,24,33,-18,193,4,4,1,2,17,4,3,206,4.4,4678,23:02
188,Dale Hawerchuk,1996,1997,2,C,67,16,38,54,19,36,9,7,0,3,29,9,0,146,11.0,,
189,Greg Hawgood,1993,1994,2,D,59,9,34,43,-5,58,1,8,0,1,12,22,0,128,7.0,,
190,Paul Healey,1997,1998,2,LW,6,0,0,0,0,12,0,0,0,0,0,0,0,0,,,
191,Earl Heiskala,1969,1971,3,LW,127,13,11,24,-28,294,13,0,0,1,10,1,0,191,6.8,,
192,Wayne Hicks,1968,1968,1,RW,32,2,7,9,-5,6,1,1,0,0,1,6,0,41,4.9,,
193,Al Hill,1977,1988,8,C,221,40,55,95,33,227,39,1,0,5,50,4,1,263,15.2,,
194,Larry Hillman,1970,1971,2,D,149,8,39,47,0,112,6,2,0,0,31,8,0,429,1.9,,
195,Wayne Hillman,1970,1973,4,D,258,8,25,33,3,170,6,2,0,1,22,3,0,209,3.8,,
196,Jan Hlavac,2002,2002,1,LW,31,7,3,10,5,8,7,0,0,1,3,0,0,62,11.3,391,12:36
197,Todd Hlushko,1994,1994,1,C,2,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,,
198,Ed Hoekstra,1968,1968,1,C,70,15,21,36,6,6,10,5,0,4,18,2,1,126,11.9,,
199,Bob Hoffmeyer,1982,1983,2,D,92,9,31,40,20,182,4,5,0,0,22,7,2,138,6.5,,
200,Milos Holan,1994,1994,1,D,8,1,1,2,-4,4,0,1,0,0,0,1,0,26,3.8,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
201,Paul Holmgren,1976,1984,9,RW,500,138,171,309,111,1600,112,26,0,17,136,34,1,868,15.9,,
202,Ben Holmstrom,2011,2012,2,RW,7,0,0,0,-1,7,0,0,0,0,0,0,0,3,0.0,52,7:23
203,Randy Holt,1984,1984,1,D,26,0,0,0,-1,74,0,0,0,0,0,0,0,4,0.0,,
204,Tony Horacek,1990,1992,3,LW,116,9,14,23,3,217,9,0,0,2,14,0,0,88,10.2,,
205,Ed Hospodar,1985,1987,3,D,112,8,7,15,-1,321,7,0,1,1,7,0,0,79,10.1,,
206,Martin Hostak,1991,1992,2,C,55,3,11,14,0,24,2,1,0,0,11,0,0,72,4.2,,
207,Mark Howe,1983,1992,10,D,594,138,342,480,349,323,75,39,24,16,204,123,15,1395,9.9,,
208,Dave Hoyda,1978,1979,2,LW,108,4,16,20,-3,257,4,0,0,0,16,0,0,45,8.9,,
209,Petr Hubacek,2001,2001,1,C,6,1,0,1,-1,2,1,0,0,0,0,0,0,5,20.0,68,11:20
210,Willie Huber,1988,1988,1,D,10,4,9,13,-2,16,1,3,0,0,4,5,0,14,28.6,,
211,Kerry Huffman,1987,1996,7,D,207,23,61,84,-7,158,16,7,0,6,27,33,1,320,7.2,,
212,Brent Hughes,1971,1973,3,D,122,5,41,46,-8,88,5,0,0,0,22,16,3,170,2.9,,
213,Jody Hull,1999,2001,3,RW,210,20,22,42,5,26,16,0,4,5,21,0,1,214,9.3,2675,12:44
214,Kent Huskins,2013,2013,1,D,8,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,129,16:06
215,Gord Hynes,1993,1993,1,D,37,3,4,7,-3,16,3,0,0,0,3,1,0,39,7.7,,
216,Jaromir Jagr,2012,2012,1,RW,73,19,35,54,5,30,11,8,0,2,23,12,0,170,11.2,1193,16:20
217,Chris Jensen,1990,1992,3,RW,21,2,1,3,-7,4,2,0,0,0,1,0,0,24,8.3,,
218,Jim Johnson,1968,1972,5,C,266,66,102,168,-36,67,51,10,5,9,87,12,3,533,12.4,,
219,Kim Johnsson,2002,2006,4,D,291,40,107,147,44,140,23,17,0,6,50,56,1,595,6.7,6914,23:45
220,Blair Jones,2015,2015,1,C,4,0,0,0,-4,2,0,0,0,0,0,0,0,0,,28,6:55
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
221,Brad Jones,1992,1992,1,LW,48,7,10,17,-2,44,7,0,0,1,9,0,1,67,10.4,,
222,Keith Jones,1999,2001,3,RW,131,27,47,74,32,164,24,3,0,3,42,5,0,227,11.9,1987,15:09
223,Randy Jones,2004,2009,5,D,217,13,56,69,-3,134,11,2,0,2,35,19,2,241,5.4,3817,17:35
224,Lars Jonsson,2007,2007,1,D,8,0,2,2,-4,6,0,0,0,0,0,2,0,4,0.0,99,12:24
225,Chris Joseph,1998,1999,2,D,17,1,0,1,1,21,1,0,0,1,0,0,0,21,4.8,19,9:36
226,Eddie Joyal,1972,1972,1,C,26,3,4,7,-13,8,1,2,0,0,4,0,0,41,7.3,,
